symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM
start,1,侦探,咖啡厅,,,反正是顺路的事情，何况小夕在开价上确实出手阔绰，你决定答应下来。简单吃过晚餐后，你与小夕一同前往德克斯特医院。,2,,苒 - 把被子还给我！
dialog,2,侦探,夜路,,,靠近医院周围的环境就愈发阴森。明明身处现代化的城市，却给人一种走在深山老林的古堡小径的感觉。,3,,
dialog,3,侦探,夜路,,老钱_暗,不知名的远处还偶尔传来不知什么生物的诡异嚎声。这气氛简直比恐怖片还要可怕三分，尤其是后面还有个人鬼鬼祟祟的跟在你们的身后。,4,,
dialog,4,侦探,夜路,,老钱_咳嗽,不过他似乎并没有什么敌意，与其说是特意跟着，倒不如说是和你们一样要去医院，但是不希望被发现所以隐藏身形。但被人这么跟着还是多少有点不舒服，你决定支开小夕，独自会会他。,5,,
dialog,6,侦探,夜路,主角,老钱_暗,“老哥，去医院？那一起走呗，反正都要去。”,6,,
dialog,1,侦探,夜路,主角_暗,老钱_惊讶,面前的男人似乎有些惊恐的回过头，看着不知何时出现在背后的你。,7,,
dialog,2,侦探,夜路,主角_暗,老钱,“啊哈哈哈......是啊。”,7,,
dialog,,侦探,夜路,主角_暗,老钱_咳嗽,可能是出于被发现的尴尬，他大声地咳了一阵。大概是意识到没法继续独自行动，他犹豫片刻后同意了和你一起前往医院。,,,
dialog,,侦探,夜路,主角,老钱_暗,“怎么称呼？”,,,
dialog,,侦探,夜路,主角_暗,老钱_咳嗽,“老钱……咳咳……”男人略显尴尬地自报了姓名。,,,
dialog,,侦探,夜路,,老钱,虽然叫老钱，但并算不上老，充其量也就三四十岁。面容有些过于憔悴，没法确定的太精确。,,,
dialog,,侦探,夜路,,老钱,头部略微前倾的不良体态提示了他长期伏案工作的颈椎病。黑眼圈则明摆了他睡眠不足的事实。不会是个程序员吧？,,,
AnimaRole,,,老钱背景,老钱卡,,,,,
dialog,,侦探,夜路,主角_暗,老钱,“我啊，之前就是医院的员工。然后出了事就失业了呗。”老钱叹了口气，一股子中年危机的感觉。“这几个月都没啥收入来源。回去看看有没有啥值钱的。”,,,
dialog,,侦探,夜路,主角,老钱_暗,“那你打算去哪？不会去搬医疗器材吧？”,,,
dialog,,侦探,夜路,主角_暗,老钱,“看看……看看。”老钱凑合应付着你。,,,
dialog,,侦探,夜路,主角,老钱_暗,你懒得追究他的真正目的，毕竟又不会和你有什么冲突。起码暂时如此。,,,
dialog,,侦探,夜路,,,小半个小时后，医院出现在了面前，一路上你觉得自己越接近医院，精神上便越加不舒服。,,,
dialog,,侦探,夜路,,,踏进大门后，你甚至有耳边有人低语的错觉。,,,
dialog,,侦探,夜路医院,主角_暗,阿克,阿克看来在你之前便已抵达，他站在门内，看向你们。“你们认识？”,,,
dialog,,侦探,夜路医院,主角,,“没，同路就一起过来了，对吧？”你看了看表，时间是19：00，刚好没有迟到。,,,
image,,侦探,夜路医院,手表,,,,,
dialog,,侦探,夜路医院,主角_暗,老钱,“啊，对的对的。”老钱似乎对阿克的出现有些意外，勉强附和了几声后又忍不住咳嗽起来。“小哥这你有认识的人啊，你看咱也到医院了，要不就各走各的。”,,,
dialog,,侦探,夜路医院,主角,,“行吧行吧，不烦你了。”,,,
dialog,,侦探,夜路医院,主角_暗,小夕,打发完老钱，你看着他刷了员工证走进了员工电梯。小夕这会儿正好朝你走了过来。,,,
dialog,,侦探,夜路医院,主角_暗,阿克_嘲讽,阿克看了你一眼，似乎恍然大悟，对着你与身边的小夕挤眉弄眼。“对不起，我忘了，你这还要带个妹子。我先走了。”他挥挥手，朝着一旁的停车场走去。,,,
dialog,,侦探,夜路医院,主角,阿克_暗,“啊对了，如果有啥事，记得写信联系下。”他回头补充道。,,,
dialog,1,侦探,夜路医院,主角_惊讶,,写信？你愣了一下，感觉阿克应该是嘴瓢了，意思是给他发消息吧。,,,
AnimaRole,,,阿克背景,阿克卡,,,,,
optionMgr,1,1,夜路医院,,,,,,
option,2,1,夜路医院,,,【你和小夕决定一起走正门】,,,
