symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM
Anima,,,警告,,,,,,
start,1,侦探,安全屋,,,寻常的一天晚上，一封书信出现在了你的家门口。信上该填寄件人的位置没有署名，只有“德克斯特医院”这几个字。,1,,Gravity
dialog,2,侦探,安全屋,主角,,你嘀咕着：“这都2202年了，还有人写纸质书信？”,2,,
image,3,,安全屋,火漆信件,,,,,
dialog,3,侦探,安全屋,,,你打开了这封信。有人在信里委托给你新的工作，并且附上了一张五千万元的支票。,3,,
dialog,4,侦探,安全屋医院图,主角,,“德克斯特医院？有人失踪？”,4,,
dialog,5,侦探,安全屋医院图,,,这名字你不仅听说过，甚至还很熟悉，因为最近常逛的论坛上都是它的消息。前两天论坛的成员阿克还邀请你一起去实地调查。,5,,
dialog,6,侦探,安全屋医院图,,,虽然你已经解决过很多与都市传说有关的事情，但它们基本都只是人装神弄鬼的结果。然而这次的事情你隐约嗅到了危险的味道。,6,,
dialog,7,侦探,安全屋医院图,主角,,“啊......来活儿了。”,7,,
dialog,8,侦探,安全屋医院图,,,在进入工作状态之前，你准备用最后的惬意，好好品尝今晚的第一杯茶,8,,
optionMgr,1,1,,,,,,,
option,2,1,安全屋,,,【到达】,9,,
