symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM
start,2,侦探,电梯打架,,,毕竟吃这碗饭，区区小混混还带着包，根本不是你的对手。不出几十步，你就揪住了混混的衣领。,2,,Joel Nielsen - Surface Tension 2
dialog,3,侦探,电梯打架,,,情急之下，混混用包抡了你一圈，包里的文件洒落一地。但你根本不为所动，依旧揪紧了他的衣领，沉默地瞪着他。,3,,
dialog,4,侦探,主角瞪眼,主角_暗,小夕,混混不敢再与你多做纠缠，松开了包落荒而逃。JK这时才匆匆赶了上来，一边捡起地上的文件，一边邀请你喝杯咖啡作为答谢。,4,,
dialog,4,侦探,电梯间,主角_暗,小夕,混混不敢再与你多做纠缠，松开了包落荒而逃。JK这时才匆匆赶了上来，一边捡起地上的文件，一边邀请你喝杯咖啡作为答谢。,4,,
dialog,5,小夕,电梯间,主角_暗,小夕,“你好，我叫小夕。”,5,,
dialog,6,侦探,电梯间,主角_沉思,,喝咖啡会心悸的。你本想拒绝，但你瞥见了文件上德克斯特医院的插图。,6,,
image,7,侦探,电梯间,散落文件,,,7,,
dialog,1,侦探,电梯间,主角_沉思,,“那就路边的这家吧。”,8,,
optionMgr,1,1,电梯间,,,,,,
option,2,1,,,,【小夕的答谢】,,,
