symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM
start,1,侦探,门诊大厅,,,“咔嚓”。玻璃门自动关上了。,2,,Joel Nielsen - Office Complex
dialog,2,侦探,门诊大厅,主角,,你忍不住回头看了一下，突然发现这门背后竟然没有锁也没有其他开关，很明显这意味着暂时没法从这边出去了。,3,,
dialog,3,侦探,门诊大厅,主角_沉思,,“只进不出吗？”你感到有点怪异但没放在心上。看来只能继续前进了。,4,,
dialog,4,侦探,门诊大厅,,,意外的是，在这座已经废弃数月的建筑中，电梯还能正常工作。不过没有人维持检修的话，安全性目前还是保持怀疑比较好。,5,,
dialog,6,侦探,门诊大厅,,,但你很快就感觉到了不对劲的地方。,6,,
dialog,1,侦探,门诊大厅,主角,小夕_惊恐,你掏出手机，发现屏幕一片花白，怎么操作都没有反应。小夕准备的对讲机也好像坏掉了。,7,,
image,2,,门诊大厅,屏幕花白的手机,,手机,7,,
dialog,,小夕,门诊大厅,主角_暗,小夕_懵逼,“奇怪，来之前还特意检查过的。”小夕嘀咕着。,,,
dialog,,侦探,门诊大厅,主角_沉思,小夕_懵逼,“只能先找找看有没有别的能用的信息和道具了。”,,,
dialog,,侦探,门诊大厅,主角,小夕,这么想着，你和小夕开始检查起周围房间。毕竟这里你一切未知，还是四处转转查看查看情况比较好。万一真的有什么事跑路也方便一点是吧。,,,
dialog,,小夕,门诊大厅,主角_暗,小夕,“哎，来这里，看我发现了什么。”小夕看起来在咨询台有了新发现，她手上拿着一份平面图：“我们可以去图上的这个杂物间。”,,,
image,,,门诊大厅,平面图,,获得道具：平面图,,,
end,,,,,,,,,
