symbol,ID,人物名,背景图,角色立绘1,角色立绘2,content,跳转,音效,BGM
AnimaRole,,,背景图,徽章,,,,,
start,1,侦探,门诊正门,,,大楼的正门紧闭着，徒手无法打开。门锁处是比较常见的密码锁，但很明显你们并不知道密码。,2,,苒 - 把被子还给我！
Anima,,,小夕名场面,,,,3,,
dialog,3,小夕,门诊正门,主角_暗,小夕,你看向在门口捣鼓的小夕，只见她手速快到只能看到残影，飞速尝试着密码。,4,,
dialog,4,侦探,门诊正门,主角_无语,小夕_暗,“你在干嘛？”,5,,
dialog,6,侦探,门诊正门,主角_暗,小夕,“刚才试了下这个锁没有报警和暂停输入功能，就是说没有试错成本。快速穷举就能打开。”,6,,
dialog,1,小夕,门诊正门打开,,,几句话的功夫，门锁上的红灯快速地闪烁了不知多少次。伴随着“滴”的一声，机械结构开始活动，门自动打开了一条缝。,7,,
dialog,2,侦探,门诊正门打开,主角_暗,小夕,“走吧。”小夕带头走了进去。,7,,
dialog,,小夕,门诊正门打开,主角_沉思,,这孩子……或许能干大事。你默默在心中赞叹了一句。,,,
image,,侦探,摄像头特写,,,,,,
optionMgr,1,1,门诊正门打开,,,,,,
option,2,1,门诊正门打开,,,【到达：一楼门诊大厅】,,,
