symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,一楼走廊,1,0,,,,,,,,Door,
dialog,一楼门诊大厅,1,0,,,,,,,,Door,
dialog,白大褂,1,0,人物立绘/主角 白大褂,“这衣服好像还挺干净的。”,衣架,,,,,,
dialog,白大褂,2,0,人物立绘/主角 白大褂,你抓起衣架上的白大褂，出乎预料的有些厚。“舒服多了。”你顺手把听诊器挂在了脖子上。,,,,,,,
dialog,白大褂,3,0,人物立绘/小夕 背包,“还不错。”小夕瞟了你一眼。“还有多的吗？”,,,,,,,
dialog,白大褂,4,0,人物立绘/主角 白大褂,“我找找。”,,,,,,,
dialog,白大褂,5,0,人物立绘/主角 白大褂,你又一次投入了物资的搜寻。,,,,,,,
end,白大褂,6,0,,,,,,,,,
dialogend,衣架,1,0,,你已经拿走白大褂了。这没东西了。,,,,,,,
end,衣架,2,0,,,,,,,,,
dialog,床,1,0,人物立绘/主角 白大褂,“呃，好恶心。啥玩意这么粘。”,,,,,,,
dialog,床,2,0,人物立绘/主角 白大褂,地上有着奇怪的黑色半干涸液体。追溯源头的话.....在那堆家具里。你看过去，一只白色的衣袖伴着一只手伸出。,,,,,,,
dialog,床,3,0,人物立绘/主角 白大褂,“……我草。”,,,,,,,
end,床,4,0,,,,,,,,,
dialog,床,1,1,尸体,忙活半天把家具搬开后，这只手的主人出现在你们面前——只剩一具骨架的尸体，不知为何被埋在其中。,,,,,,,
dialog,床,2,1,尸体,克制住内心的恐惧，你伸出略微发颤的手，清理着它身上尚未干涸的液化软组织。不经意间触碰到了它口袋里的一张心电图。,,,,,,,
end,床,3,1,,,,,,,,,
dialog,床,1,2,,获得道具：心电图,,,,,,,
dialog,床,2,2,心电图,,,心电图,,,,,
dialog,床,3,2,心电图反面,我不应该去做这种违背自然的实验的，他把人类当成食物的一种了！,,,,,,,
end,床,4,2,,,,,,,,,
dialogend,床,1,3,心电图反面,我不应该去做这种违背自然的实验的，他把人类当成食物的一种了！,,,,,,,
end,床,2,4,,,,,,,,,
dialog,带小刀的坑,1,0,,这（文明）谁挖的坑啊，你差点一脚踩空。,,,,,,,
dialog,带小刀的坑,2,0,小刀,坑里倒是有个有点用的东西——一把小刀。不拿白不拿，你顺手把它揣进了口袋里。,,,,,,,
dialog,带小刀的坑,3,0,,获得道具：小刀,,,,,,,
end,带小刀的坑,4,0,,,坑,小刀,,,,,
dialogend,坑,1,0,,你可不想再掉坑里了。,,,,,,,
end,坑,2,0,,,,,,,,,
dialog,灰色的书,1,0,书,桌子上有一本翻开一半的书，但大部分字已经被模糊不清，你只能勉强辨认出两行字：,,,,,,,
dialog,灰色的书,2,0,书,“经过数日的研究和观察，□□□□□具有自我意识，可根据其自我意识操控部分物品进行□□□□。具体表现为□□□□□□，与此同时，检测到□□□□□等地点存在电波干扰，对此要额外注意务必请勿使用□□□□□”,,,,,,,
end,灰色的书,3,0,,,翻开的书,,,,,,
dialog,翻开的书,1,0,书,你试图从里面提取有效信息：自我意识、操控物品、电波干扰？,,,,,,,
end,翻开的书,2,0,,,,,,,,,
dialogend,翻开的书,1,1,,一本翻开的书，里面的有效信息你都已经知晓了。,,,,,,,
end,翻开的书,2,1,,,,,,,,,
dialog,歪掉的画框,1,0,,画框里画着一个白色人影，全身沾着鲜红的血迹，尤其是人脸的表情十分诡异，你看着不由得起了一身鸡皮疙瘩。,,,,,,,
dialog,歪掉的画框,2,0,,最让你汗毛倒竖的是，那个人脸看起来和你颇有几分相似。,,,,,,,
end,歪掉的画框,3,0,,,,,,,,,
dialogend,歪掉的画框,1,0,,歪掉的画框里画着诡异的白色人影。,,,,,,,
end,歪掉的画框,2,0,,,,,,,,,
dialog,抽屉,1,0,书信相关文件/捡到的信件/一楼抽屉里的信,抽屉里躺着一封信和一瓶药水。信纸上的字迹十分潦草，看起来写信人十分急切。上面写着一些未了的心愿，像是一份遗嘱。,,,,,,,
dialog,抽屉,2,0,书信相关文件/捡到的信件/一楼抽屉里的信,根据信上的有效信息，旁边的这瓶药水似乎可以用来恢复体力。,,,,,,,
dialog,抽屉,3,0,书信相关文件/捡到的信件/一楼抽屉里的信,该不会是……门口的尸体留下的吧？,,,,,,,
dialog,抽屉,4,0,,获得道具：肾上腺素,,,,,,,
end,抽屉,5,0,,,,肾上腺素,,,一楼抽屉里的信,,
dialogend,抽屉,1,1,,已经查看过的抽屉。,,,,,,,
end,抽屉,2,1,,,,,,,,,
dialog,地毯,1,0,铜色的钥匙,这里摆着一个钥匙，但根据你的观察，它的形状好像和房间里所有的锁孔的样子都不太匹配。还是先带上吧，说不定等下就用到了。,,,,,,,
dialog,地毯,2,0,,获得道具：钥匙,,,,,,,
end,地毯,3,0,,,,铜色的钥匙,,,,,
dialogend,地毯,1,1,,你已经拿走了用得上的东西。,,,,,,,
end,地毯,2,1,,,,,,,,,
dialog,炮弹系统,1,0,书信相关文件/捡到的信件/来自阿克的信1,这里收到了一封信。,,,,,,,
end,炮弹系统,2,0,,,,,,,来自阿克的信1,,
dialogend,炮弹系统,1,1,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,1,,,,,,,,,
dialogend,炮弹系统,1,2,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,2,,,,,,,,,
dialogend,炮弹系统不可写信,1,0,,现在还不能写信。,,,,,,,
end,炮弹系统不可写信,2,0,,,,,,,,,
dialogend,炮弹系统信写完了,1,0,,好像没有要写的信了。,,,,,,,
end,炮弹系统信写完了,2,0,,,,,,,,,
