symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,一楼走廊,1,0,,,,,,,,Door,
dialog,灭火器,1,0,灭火器,在众多有用无用的东西中，你一眼就看上了这个灭火器。,,,,,,,
dialog,灭火器,2,0,人物立绘/主角 白大褂,“这儿这么多玻璃柜子，想必拿这个来砸很方便吧。“,,,,,,,
dialog,灭火器,3,0,人物立绘/小夕 背包,”小心点。万一砸到了危险药剂那可不是闹着玩的。“小夕提醒你。,,,,,,,
dialog,灭火器,4,0,灭火器,【获得道具：灭火器】,墙角,,得到,,,,
end,灭火器,5,0,,,,灭火器,,,,,
dialogend,墙角,1,0,,灭火器已经被塞进了你的异次元背包。,,,,,,,
end,墙角,2,0,,,,,,,,,
dialog,玻璃柜子1,1,0,医疗用品,锁在玻璃柜子里的医疗用品，要取出来看看吗？,,,,,,,
dialog,玻璃柜子1,2,0,医疗用品,你拎起倒在一旁的灭火器朝着柜门砸去，玻璃应声碎裂。,,,玻璃_敲碎,,,,
dialog,玻璃柜子1,3,0,医疗用品,【获得道具：医疗用品】,,,得到,,,,
end,玻璃柜子1,4,0,,,,医疗用品,,,,,
dialogend,玻璃柜子1,1,1,你已经拿走了用得上的东西。,,,,,,,,
end,玻璃柜子1,2,1,,,,,,,,,
dialog,玻璃柜子2,1,0,,锁在玻璃柜子里的各式药剂，要取出来看看吗？,,,,,,,
dialog,玻璃柜子2,2,0,,你拎起倒在一旁的灭火器朝着柜门砸去，玻璃应声碎裂。与此同时响起的，还有药剂爆炸的声音。,,,玻璃_敲碎,,,,
dialog,玻璃柜子2,3,0,,,,,爆裂声,,,,
dialog,玻璃柜子2,4,0,,你的手被狠狠灼了一下。,,,,,,,
dialog,玻璃柜子2,5,0,,“我靠，什么危险品啊。”还好爆炸范围很小，不然就麻烦了。,,,,,,,
dialog,玻璃柜子2,6,0,,你的HP值-10！,,,警告,,,,
end,玻璃柜子2,7,0,,,,,,,,HP-10,
dialogend,玻璃柜子2,1,1,,拜托，危险品耶，你可不想被再炸一次了。,,,,,,,
end,玻璃柜子2,2,1,,,,,,,,,
dialog,取药窗口,1,0,,这里看起来是取药窗口，通过窗台上纸笔的使用痕迹可以判断，前段时间这里还有人来过。,,,,,,,
dialog,取药窗口,2,0,,你抱着搜寻线索的心态翻找了下，一张带有字迹的纸页出现在你面前。,,,,,,,
dialog,取药窗口,3,0,人物立绘/小夕 背包,“给我！”小夕一把从你手里夺过了那张纸，她呼吸有些急促，手颤抖着把那张有点皱的信纸抚平。,,,心脏轻微的跳动,,,,
dialog,取药窗口,4,0,书信相关文件/捡到的信件/小夕男友的信,对不起亲爱的，我不得不扔了手机……不然会发生可怕的事，就像我亲眼目睹到的那些……,,,翻页,,,,
dialog,取药窗口,5,0,书信相关文件/捡到的信件/小夕男友的信,……外面有可怕的东西在游荡，我拼命地屏住呼吸，祈祷千万不要被发现……,,,翻页,,,,
dialog,取药窗口,6,0,书信相关文件/捡到的信件/小夕男友的信,已经记不清楚上次吃到像样的东西是什么时候，闭上眼总是出现各种各样的幻觉……,,,翻页,,,,
dialog,取药窗口,7,0,书信相关文件/捡到的信件/小夕男友的信,……上一次失去意识的时候，我又梦到你在樱花树下羞涩地冲我微笑……,,,翻页,,,,
dialog,取药窗口,8,0,书信相关文件/捡到的信件/小夕男友的信,也许这里是个无法逃离的人间地狱……如果你来找我了，快走，不要留在这里……,,,翻页,,,,
dialog,取药窗口,9,0,书信相关文件/捡到的信件/小夕男友的信,我爱你。小夕，你要好好活下去。,,,翻页,,,,
dialog,取药窗口,10,0,人物立绘/主角 白大褂,看来是小夕的男友留下的。你知道她需要消化一下情绪，让她自己一个人待一会儿吧。,,,,,,,
end,取药窗口,11,0,,,,,得到,,小夕男友的信,,
dialog,取药窗口,1,1,药房员工工卡,“这是工卡，好用的。”,,,,,,,
dialog,取药窗口,2,1,人物立绘/小夕 背包,小夕推了推眼镜。她看上去情绪振作一些了。,,,,,,,
dialog,取药窗口,3,1,人物立绘/主角 白大褂,“好，那咱带上。”,,,,,,,
end,取药窗口,4,1,,,,药房员工工卡,得到,,,,
dialogend,取药窗口,1,2,,你已经拿走了用得上的东西。,,,,,,,
end,取药窗口,2,2,,,,,,,,,
dialog,有抽屉的木柜子,1,0,镇静剂,“我看看，镇静剂......肾上腺素......其他的好像都没啥用。”,,,,,,,
dialog,有抽屉的木柜子,2,0,肾上腺素,简单辨认之后，你把有用的药物收入袋中。,,镇静剂,,,,,
end,有抽屉的木柜子,3,0,,,,肾上腺素,得到,,,,
dialogend,有抽屉的木柜子,1,1,,你已经拿走了用得上的东西。,,,,,,,
end,有抽屉的木柜子,2,1,,,,,,,,,
nodialog,木柜子,1,0,,这里有一个锁着的柜子，看起来钥匙孔有点眼熟。,,,,铜色的钥匙,,,
end,木柜子,2,0,,,,,,,,,
dialog,木柜子,1,0,炮弹系统红灯,咔哒一声，锁开了，露出了藏在后面的炮弹系统。,炮弹系统,,柜子_破坏,铜色的钥匙,,,
end,木柜子,2,0,,,,,,,,,
dialog,桌椅堵住的门,1,0,,,,,,,,桌椅堵住的门,
end,桌椅堵住的门,2,0,,,,,,,,,
dialogend,炮弹系统,1,0,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,0,,,,,,,,,
dialog,炮弹系统,1,1,,这里收到了一封信。,,,,,,,
dialog,炮弹系统,2,1,书信相关文件/捡到的信件/来自老钱的信1,,,,,,,,
end,炮弹系统,3,1,,,,,,,来自老钱的信1,,
dialogend,炮弹系统,1,2,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,2,,,,,,,,,
dialogend,炮弹系统,1,3,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,3,,,,,,,,,
dialogend,炮弹系统不可写信,1,0,,现在还不能写信。,,,,,,,
end,炮弹系统不可写信,2,0,,,,,,,,,
dialogend,炮弹系统信写完了,1,0,,好像没有要写的信了。,,,,,,,
end,炮弹系统信写完了,2,0,,,,,,,,,
