symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialogend,二楼实验室,1,0,,这扇门从背后卡住了！,,,门打不开,,,,进不去
end,二楼实验室,1,0,,,,,,,,,
dialogend,二楼消化科,1,0,,这扇门从背后卡住了！,,,门打不开,,,,进不去
end,二楼消化科,1,0,,,,,,,,,
nodialog,二楼监控室,1,0,,这里缺一把钥匙！可能要去冷藏室找找？,,,,监控室钥匙,,,在冷藏室
end,二楼监控室,2,0,,,,,,,,,
dialog,二楼监控室,1,0,,,,,,监控室钥匙,,Door,
dialog,右侧电梯,1,0,,,,,,,,Door,
dialog,左侧电梯,1,0,,,,,,,,Door,
dialog,二楼走廊,1,0,,,,,,,,Door,
dialog,二楼VIP病房1,1,0,,,,,,,,Door,
dialog,二楼VIP病房2,1,0,,,,,,,,Door,
dialog,沾满血的信,1,0,,这有信,,,,,,,
dialog,沾满血的信,2,0,,我拿走,,,,,,,
end,沾满血的信,3,0,,,没有信,,,,（二楼大厅信）,,
dialogend,大坑,1,0,,这坑是老钱搞的吧？我还是离远点，别掉下去了。,,,,,,,
end,大坑,2,0,,,,,,,,,
nodialog,大怪兽,1,0,,这有只大怪兽，我还是别往前走了。看看能不能绕路过去吧。,,,,电锯,,,
dialog,大怪兽,2,0,,或者说，我还说找个武器把它杀死？找个电锯之类的！,,,,,,,
end,大怪兽,3,0,,,,,,,,,
dialog,大怪兽,1,0,,大怪兽！看招！,,,,电锯,,,
dialog,大怪兽,2,0,,它死了，你可以过去了。,没有怪兽,,,,,,
end,大怪兽,3,0,,,,,,,,,
dialog,保安工卡,1,0,保安工卡,这有保安工卡,,,,,,,
dialog,保安工卡,2,0,,我拿走,,,,,,,
end,保安工卡,3,0,,,保安工卡空,保安工卡,,,,,
dialog,纸条,1,0,书信相关文件/捡到的信件/走廊里的纸条,,,,,,,,
dialog,纸条,2,0,书信相关文件/捡到的信件/走廊里的纸条,简单提取下关键信息：1有逃生暗道，2四层走廊两侧有好东西。,,,,,,,
end,纸条,3,0,,,纸条 空,,,,走廊里的纸条,,
