symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,二楼走廊,1,0,,,,,,,,Door,
dialog,二楼大厅,1,0,,,,,,,,Door,
dialog,排气孔,1,0,,看起来是这里的保安留下的。,,,,,,,
dialog,排气孔,2,0,书信相关文件/捡到的信件/监控室尸体日记,,,,,,,,
end,排气孔,3,0,,,,,,,监控室尸体日记,,
dialogend,排气孔,1,1,,排气孔里其他信脏脏的，我可不想再碰了。,,,,,,,
end,排气孔,2,1,,,,,,,,,
dialog,笔记本,1,0,信,这几天夜里监控总是会出现奇怪的闪屏，希望下周末可以派人过来维修一下，,,,,,,,
dialog,笔记本,2,0,信,最近医院的信号也越来越差了，甚至大家都只能用炮弹系统传递书信交流了,,,,,,,
dialog,笔记本,3,0,信,罢了，我多值几天夜班吧，防止突发情况。,,,,,,,
dialog,笔记本,4,0,信,这段时间吃人怪物的传说越来越多了，这些年轻人，唉，就不能唯物主义点吗。,,,,,,,
dialog,笔记本,5,0,信,他娘的，吃人怪物居然不是假的，要不是我亲眼看到老季被咬死在我面前,,,,,,,
dialog,笔记本,6,0,信,腿上被咬的伤口一直在溃烂，血止不住，除了这儿我无处可藏……,,,,,,,
dialog,笔记本,7,0,信,……撑不下去了，如果和老潘一样早早辞职回家多好。老季，我来陪你了……,,,,,,,
end,笔记本,8,0,,,,,,,,,
dialogend,笔记本,1,1,,笔记本已经看过了。,,,,,,,
end,笔记本,2,1,,,,,,,,,
dialog,监控屏,1,0,,本想浏览一下近期录像，但是既往录像查看需要密码，只能查看今天晚上的录像。,,,,,,,
dialog,监控屏,2,0,,然后你便发现花坛里面阿克颤颤巍巍地爬起来，捂着脑袋滴着血迹从医院门口逃了出去。,,,,,,,
dialog,监控屏,3,0,,“是他自己从楼里跳出去了么？还是被人袭击慌不择路？”,,,,,,,
dialog,监控屏,4,0,主角_白大褂,不少监控都已经脱离控制了，黑白的雪花让人感到尤为不安。,,,,,,,
dialog,监控屏,5,0,,“看一下哪边的监控里面怪物出没的比较少？”,,,,,,,
dialog,监控屏,6,0,,小夕正在以64X倍数多屏幕查看。她很快得出结论：“冷藏室怪物去的最少。”,,,,,,,
dialog,监控屏,7,0,主角_白大褂,“那我们就去那边避避。”,,,,,,,
dialog,监控屏,8,0,,,,,,,,,
end,监控屏,9,0,,,,,,,,,
dialogend,监控屏,1,1,,已经看过了,,,,,,,
end,监控屏,2,1,,,,,,,,,
dialog,炮弹系统,1,0,,这里收到了一封信。,,,,,,,
dialog,炮弹系统,2,0,书信相关文件/捡到的信件/来自老钱的信2,,,,,,,,
end,炮弹系统,3,0,,,,,,,来自老钱的信2,,
dialog,炮弹系统,1,1,,这里收到了一封信。,,,,,,,
dialog,炮弹系统,2,1,书信相关文件/捡到的信件/来自老钱的信3,,,,,,,,
end,炮弹系统,3,1,,,,,,,来自老钱的信3,,
dialogend,炮弹系统,1,2,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,2,,,,,,,,,
dialog,炮弹系统,1,3,,这里收到了一封信。,,,,,,,
dialog,炮弹系统,2,3,书信相关文件/捡到的信件/来自阿克的信2,,,,,,,,
end,炮弹系统,3,3,,,,,,,来自阿克的信2,,
dialogend,炮弹系统,1,4,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,4,,,,,,,,,
dialogend,炮弹系统,1,5,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,5,,,,,,,,,
dialogend,炮弹系统不可写信,1,0,,现在还不能写信。,,,,,,,
end,炮弹系统不可写信,2,0,,,,,,,,,
dialogend,炮弹系统信写完了,1,0,,好像没有要写的信了。,,,,,,,
end,炮弹系统信写完了,2,0,,,,,,,,,
