symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,左侧电梯,1,0,,,,,,,,Door,
dialog,四楼院长办公室,1,0,,,,,,,,Door,
dialogend,左边的画,1,0,合照2,这有一张画，好像是一张合照。,,,,,,,
end,左边的画,2,0,,,,,,,,,
dialogend,右边的画,1,0,合照3,这有一张画，好像是一张合照。,,,,,,,
end,右边的画,2,0,,,,,,,,,
dialog,克里斯汀给爷爷的信1,1,0,,这是一封克里斯汀给爷爷的信。,,,,,,,
dialog,克里斯汀给爷爷的信1,2,0,书信相关文件/捡到的信件/克里斯汀给爷爷1,应该是照片上的少女写给院长——她爷爷的信。,,,,,克里斯汀给爷爷1,,
end,克里斯汀给爷爷的信1,3,0,,,空1,,,,,,
dialog,克里斯汀给爷爷的信2,1,0,,这是一封克里斯汀给爷爷的信。,,,,,,,
dialog,克里斯汀给爷爷的信2,2,0,书信相关文件/捡到的信件/克里斯汀给爷爷2,应该是照片上的少女写给院长——她爷爷的信。,,,,,克里斯汀给爷爷2,,
end,克里斯汀给爷爷的信2,3,0,,,空1,,,,,,
