symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,四楼走廊,1,0,,,,,,,,Door,
dialogend,最后的信,1,0,,在这里找到了最后的信。,,,,,,,
dialog,最后的信,2,0,院长跪着,“感谢您！奈先生！”一个感激涕零的老人正跪谢着一个黑色法老一般的人。那人手捧一个奇怪的立方体容器，里面好似有翻滚的血肉。,,,,,,,
dialog,最后的信,3,0,院长跪着,“感谢您给予我，救治我孙女的办法，真不知道该如何报答您！”,,,,,,,
dialog,最后的信,4,0,院长跪着,“霍霍……亲爱的德克斯特医生，不必给我凡间的金银，这对我毫无意义……”,,,,,,,
dialog,最后的信,5,0,院长跪着,“即使您要我的生命，我也不会有丝毫的迟疑的！”,,,,,,,
dialog,最后的信,6,0,院长跪着,“不必如此心急……相信我，生祭已经被命运安排好了……相比之下我更期待的，足以取悦更高等的有趣故事。”,,,,,,,
dialog,最后的信,7,0,黑色目光,,,,,,,,
dialog,最后的信,8,0,院长跪着,“奈先生？奈先生！？您在和谁说话？”,,,,,,,
dialog,最后的信,9,0,院长跪着,“没什么……我该走了，末裔啊，珍惜你拥有的时光吧，不要害怕失去它，毕竟，这原本就不属于你！”,,,,,,,
dialog,最后的信,10,0,院长跪着,老人还想挽留拂袖而去的黑色法老，但出门后，那人便随即消失了踪影。,,,,,,,
end,最后的信,11,0,,,,,,,,,
dialogend,炮弹系统,1,0,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,0,,,,,,,,,
dialogend,炮弹系统不可写信,1,0,,现在还不能写信。,,,,,,,
end,炮弹系统不可写信,2,0,,,,,,,,,
dialog,保险柜,1,0,,这个保险柜好像有个密码锁。,,,,,,,
dialog,保险柜,2,0,,克里斯汀：“我早试过保险柜里面找那个东西了，密码是9548，不信你试试。”,,,,,,,
dialog,保险柜,3,0,,叮！保险柜打开了。,,,,,,,
dialog,保险柜,4,0,,提示：先去炮弹系统存个档。,,,,,,,
end,保险柜,5,0,,,,,,,,,
dialogend,保险柜,1,1,,Boss来了！,,,,,,,
end,保险柜,2,1,,,,,,,,BossFight,
dialogend,画,1,0,合照1,这有一张画，好像是一张合照。,,,,,,,
end,画,2,0,,,,,,,,,
dialog,爷爷给克里斯汀的信1,1,0,,这是一封爷爷给克里斯汀的信。,,,,,,,
dialog,爷爷给克里斯汀的信1,2,0,书信相关文件/捡到的信件/爷爷给克里斯汀1,应该是院长写给他孙女——照片上的少女的信。,,,,,爷爷给克里斯汀1,,
end,爷爷给克里斯汀的信1,3,0,,,空1,,,,,,
dialog,爷爷给克里斯汀的信2,1,0,,这是一封爷爷给克里斯汀的信。,,,,,,,
dialog,爷爷给克里斯汀的信2,2,0,书信相关文件/捡到的信件/爷爷给克里斯汀2,应该是院长写给他孙女——照片上的少女的信。,,,,,爷爷给克里斯汀2,,
end,爷爷给克里斯汀的信2,3,0,,,空2,,,,,,
dialog,爷爷给克里斯汀的信3,1,0,,这是一封爷爷给克里斯汀的信。,,,,,,,
dialog,爷爷给克里斯汀的信3,2,0,书信相关文件/捡到的信件/爷爷给克里斯汀3,应该是院长写给他孙女——照片上的少女的信。,,,,,爷爷给克里斯汀3,,
end,爷爷给克里斯汀的信3,3,0,,,空3,,,,,,
dialogend,炮弹系统信写完了,1,0,,好像没有要写的信了。,,,,,,,
end,炮弹系统信写完了,2,0,,,,,,,,,
