symbol,物体名,ID,trigger,对话中图片,content,替换物体,获得道具,音效,触发条件,获得信件,tag,备注
dialog,右侧电梯,1,0,,,,,,,,Door,
dialog,冰柜,1,0,,这有个冰柜，我打开找找东西吧。,,,,,,,
dialog,冰柜,2,0,抑制剂,抑制剂，对怪物有着降低攻击欲望，甚至变回人类的效果。先拿上吧。,打开门的冰柜,,,,,,
end,冰柜,3,0,,,,抑制剂,,,,,
dialogend,打开门的冰柜,1,1,,冰柜里已经没东西了。不过我不用把它关上吗？,,,,,,,
end,打开门的冰柜,2,1,,,,,,,,,
dialogend,小夕男友的尸体,1,0,小夕 男友,这是小夕男友的尸体。,,,,,,,
dialog,小夕男友的尸体,2,0,十字项链,这是小夕男友尸体旁边的十字项链。,,,,,,,
end,小夕男友的尸体,3,0,,,,,,,,,
dialogend,柜子1,1,0,,我翻了翻，这柜子里什么都没有。,,,,,,,
end,柜子1,2,0,,,,,,,,,
dialogend,柜子2,1,0,,我翻了翻，这柜子里什么都没有。,,,,,,,
end,柜子2,2,0,,,,,,,,,
dialog,柜子3,1,0,,这柜子里好像有东西！,,,,,,,
dialog,柜子3,2,0,监控室钥匙,我找到了一把钥匙，上面写着“监控室”三个配字的钥匙，用途显而易见。,,,,,,,
end,柜子3,3,0,,,,监控室钥匙,,,,,
dialogend,柜子3,1,1,,柜子里已经没有东西了。,,,,,,,
end,柜子3,2,1,,,,,,,,,
dialogend,柜子4,1,0,,我翻了翻，这柜子里什么都没有。,,,,,,,
end,柜子4,2,0,,,,,,,,,
dialogend,炮弹系统,1,0,,这里还没有未读的信件。,,,,,,,
end,炮弹系统,2,0,,,,,,,,,
dialogend,炮弹系统不可写信,1,0,,现在还不能写信。,,,,,,,
end,炮弹系统不可写信,2,0,,,,,,,,,
dialogend,炮弹系统信写完了,1,0,,好像没有要写的信了。,,,,,,,
end,炮弹系统信写完了,2,0,,,,,,,,,
